,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,0.1,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,10.1,11.1,12.1,13.1,14.1,15.1,16.1,17.1,18.1,19.1,20.1,21.1,22.1,23.1,24.1,25.1,26.1,27.1,28.1,29.1,30.1,31.1,32.1,33.1,34.1,35.1,36.1,37.1,38.1,39.1,40.1,41.1,42.1,43.1,44.1,45.1,46.1,47.1,48.1,49.1,50.1,51.1,52.1,53.1,54.1,55.1,56.1,57.1,58.1,59.1,60.1,61.1,62.1,63.1,64.1,65.1,66.1,67.1,68.1,69.1,70.1,71.1,72.1,73.1,74.1,75.1,76.1,77.1,78.1,79.1,80.1,81.1,82.1,83.1,84.1,85.1,86.1,87.1,88.1,89.1,90.1,91.1,92.1,93.1,94.1,95.1,96.1,97.1,98.1,99.1,100.1,101.1,102.1,103.1,104.1,105.1,106.1,107.1,108.1,109.1,110.1,111.1,112.1,113.1,114.1,115.1,116.1,117.1,118.1,119.1,120.1,121.1,122.1,123.1,124.1,125.1,126.1,127.1,128.1,129.1,130.1,131.1,132.1,133.1,134.1,135.1,136.1,137.1,138.1,139.1,140.1,141.1,142.1,143.1,144.1,145.1,146.1,147.1,148.1,149.1,150.1,151.1,152.1,153.1,154.1,155.1,156.1,157.1,158.1,159.1,160.1,161.1,162.1,163.1,164.1,165.1,166.1,167.1,168.1,169.1,170.1,171.1,172.1,173.1,174.1,175.1,176.1,177.1,178.1,179.1,180.1,181.1,182.1,183.1,184.1,185.1,186.1,187.1,188.1,189.1,190.1,191.1,192.1,193.1,194.1,195.1,196.1,197.1,198.1,199.1,200.1,201.1,202.1,203.1,204.1,205.1,206.1,207.1,208.1,209.1,210.1,211.1,212.1,213.1,214.1,215.1,216.1,217.1,218.1,219.1,220.1,221.1,222.1,223.1,224.1,225.1,226.1,227.1,228.1,229.1,230.1,231.1,232.1,233.1,234.1,235.1,236.1,237.1,238.1,239.1,240.1,241.1,242.1,243.1,244.1,245.1,246.1,247.1,248.1,249.1,250.1,251.1,252.1,253.1,254.1,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,0.2,0
0,0.0,0.0,0.0, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1.0,1.0, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,2.0,2.0,productivity,resolution,serve,secure,field,assess,role,alignment,improvement,incentive,new,continuous,comprehensive,interaction,program,engineer,goal,match,drive,start,department,methodology,align,annual,standard,potential,review,strategy,modern,architectural,event,year,innovation,critical,bachelor,complex,grant,tool,thought,impact,extensive,security,engineering,background,health,track,peer,work,diligence,manage,evaluate,highquality,recommendation,partner,excellent,marketing,manner,service,oversight,concept,opportunity,closely,ensure,help,emerge,consistently,partnership,computer,internet,time,product,additionally,market,update,build,geodistributed,toward,objective,equity,reliability,close,act,process,organization,culture,strategic,companys,development,collaborate,crossfunctional,overall,funding,effective,report,top,skills,thinker,regular,guide,parental,record,scalable,initiative,business,nontechnical,plan,proven,flexible,principal,foster,represent,crisis,reporting,clear,major,leader,practice,related,experience,company,understanding,hire,architecture,expectation,cod,improve,understandable,provide,establish,identify,status,management,choose,guidance,salary,incident,scale,minimize,bridge,strong,deep,assessment,quality,system,design,acquisition,leave,develop,software,communicator,proficiency,downtime,solution,need,within,learn,progress,across,stakeholder,visionary,achieve,implementation,bonus,science,form,mentorship,play,trend,k,resolve,customer,challenge,maintainable,vision,sale,industry,inspire,expertise,direction,mentor,best,mechanism,leadership,decision,team,conference,due,competitive,technical,master,conduct,collaboration,technology,pay,architect,degree,adoption,longterm,communication,excellence,evangelism,alternative,lead,discretionary,risk,advantage,communicate,promote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,3.0,3.0, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.0,4.0,4.0,exist,use,incentive,youre,code,new,comprehensive,ability,handle,match,start,performance,annual,quick,growth,c,transaction,year,wellreasoned,great,future,card,state,measure,grant,stability,understand,specification,security,engineering,health,work,peer,manage,realtime,leave,p,scalability,vendor,willing,issue,closely,ensure,multiple,help,availability,reward,dependency,efficient,advance,time,platform,scala,knowledge,facilitate,thereby,priority,fault,infrastructure,supportability,integration,reliability,process,keep,equity,finance,tradeoff,highly,typescript,available,principle,report,mostly,parental,mindset,eliminate,scalable,business,one,compete,plan,flexible,frontend,language,backend,experience,least,feature,company,require,hire,architecture,improve,provide,status,identify,management,salary,scale,high,application,credit,system,data,design,make,quality,acquisition,develop,software,advocate,proficiency,solution,need,facing,learn,teammate,know,viability,across,everyone,robust,implementation,production,bonus,form,apis,productfocused,investigation,k,customer,workflow,industry,mentor,best,speed,large,payment,adapt,response,support,team,competitive,technical,implement,collaboration,pay,contribute,tolerant,comfortable,towards,quantitative,write,class,longterm,inform,requirement,advise,vital,discretionary,cryptoback,risk,ongoing,change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5.0,5.0,5.0, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,6.0,6.0,field,incentive,code,wallet,new,uptodate,comprehensive,ability,engineer,match,java,drive,start,teamwork,methodology,annual,review,c,year,bachelor,grant,security,engineering,operational,health,manager,track,work,excellent,concept,ensure,availability,emerge,time,product,commitment,deployment,scala,testing,levelup,crypto,equity,reliability,culture,development,blockchain,skill,parental,record,focus,plan,proven,flexible,largescale,capability,language,research,follow,problemsolving,practice,related,experience,feature,distributed,company,understanding,hire,architecture,salary,space,microservices,agile,high,strong,system,quality,design,leave,develop,software,integrate,solution,pressure,grow,cloud,junior,interest,bonus,maintainability,science,form,fintech,stay,trend,k,industry,member,mentor,best,leadership,team,familiarity,competitive,technical,master,pay,technology,degree,communication,longterm,excellence,lead,maintain,discretionary,computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7.0,7.0,7.0,performant,uxui,reusable,use,incentive,improvement,code,new,continuous,deliver,comprehensive,ability,engineer,handle,prioritize,match,drive,start,performance,reactjs,annual,review,collaboratively,emphasis,year,wellreasoned,event,innovation,web,lifecycle,component,grant,tool,experimentation,security,health,manager,reliable,feedback,track,work,successful,test,manage,prove,highquality,outcomes,gemini,approach,phase,integrating,consistency,lifetime,closely,ensure,dependency,efficient,time,product,mobile,platform,knowledge,build,crypto,equity,devops,integration,demonstrated,culture,tradeoff,task,development,collaborate,principle,guide,parental,record,building,mindset,focus,interact,compete,plan,flexible,frontend,throughout,maintenance,foster,javascripttypescript,framework,practice,experience,feature,company,content,correctness,capable,proactive,understanding,hire,ui,insight,delivery,provide,management,guidance,space,salary,scale,influence,application,deep,strong,optimize,system,builderio,design,make,quality,leave,cms,proficiency,project,solution,within,learn,highimpact,native,across,junior,interest,user,effectively,bonus,form,designer,react,stay,productfocused,zone,planning,k,customer,maintainable,industry,expertise,analysis,mentor,best,speed,leadership,decision,contentful,team,constructive,familiarity,competitive,technical,pay,architect,style,unit,write,longterm,excellence,lead,requirement,indepth,inform,datadriven,maintain,analytics,discretionary,multiple,like,consumerfacing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.0,8.0,8.0,exist,field,incentive,improvement,tenured,code,new,deliver,comprehensive,ability,engineer,handle,less,match,deploy,java,start,iterate,touch,performance,annual,example,standard,potential,review,year,wellreasoned,think,bachelor,grant,impact,developer,security,engineering,health,feedback,work,level,test,manage,peer,environment,refactoring,gemini,excellent,concern,closely,consistently,dependency,point,time,product,scala,onboarding,priority,similar,equity,ramp,tradeoff,quickly,automated,development,skill,parental,passionate,mindset,compete,plan,flexible,information,language,backend,systematically,practice,experience,least,feature,related,company,correctness,hire,architecture,genuinely,improve,via,identify,salary,upgrade,quality,leave,design,velocity,make,programming,software,advocate,operation,project,remove,across,vertical,production,bonus,cycle,maintainability,science,form,foundational,productfocused,manual,k,customer,member,expertise,mentor,speed,adapt,team,competitive,engage,master,collaboration,pay,degree,style,set,communication,longterm,locally,discretionary,base,multiple,computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
